Architecture,Core_Speed,DVI_Connection,Dedicated,Direct_X,HDMI_Connection,Integrated,L2_Cache,Manufacturer,Max_Power,Memory,Memory_Bandwidth,Memory_Bus,Memory_Speed,Memory_Type,Name,Notebook_GPU,Open_GL,PSU,Pixel_Rate,Power_Connector,Process,ROPs,Release_Date,Resolution_WxH,SLI_Crossfire,Shader,TMUs,Texture_Rate,VGA_Connection
Terascale 2 Caicos PRO,625 MHz,1,Yes,DX 11.0,1,No,128KB,AMD,18 Watts,512 MB,8.5GB/sec,64 Bit,533 MHz,GDDR3,Radeon HD 6450 v3,No,4.3,300 Watt & 22 Amps,3 GPixel/s,None,40nm,4,07-Feb-2011,2560x1600,No,5,8,5 GTexel/s,1
Terascale 2 Caicos PRO,750 MHz,1,Yes,DX 11.0,0,No,128KB,AMD,18 Watts,512 MB,25.6GB/sec,64 Bit,800 MHz,GDDR5,Radeon HD 6450 Sapphire OC 512MB Edition,No,4.3,300 Watt & 22 Amps,3 GPixel/s,None,40nm,4,07-Apr-2011,2560x1600,No,5,8,6 GTexel/s,1
Terascale 2 Caicos XT,750 MHz,1,Yes,DX 11.0,1,No,128KB,AMD,18 Watts,512 MB,28.8GB/sec,64 Bit,900 MHz,GDDR5,Radeon HD 6450 v2,No,4.3,300 Watt & 22 Amps,3 GPixel/s,None,40nm,4,07-Apr-2011,2560x1600,No,5,8,6 GTexel/s,1
Terascale 2 Caicos PRO,625 MHz,1,Yes,DX 11.0,1,No,128KB,AMD,18 Watts,512 MB,25.6GB/sec,64 Bit,800 MHz,GDDR5,Radeon HD 6450,No,4.3,300 Watt & 22 Amps,3 GPixel/s,None,40nm,4,07-Apr-2011,2560x1600,No,5,8,5 GTexel/s,1
Terascale 2 Caicos PRO,625 MHz,1,Yes,DX 11.0,1,No,128KB,AMD,18 Watts,1024 MB,9.6GB/sec,64 Bit,600 MHz,GDDR3,Radeon HD 6450 v3 Asus Low Profile Silent 2GB Edition,No,4.3,400 Watt & 29 Amps,3 GPixel/s,None,40nm,4,25-Aug-2011,2560x1600,No,5,8,5 GTexel/s,1
Terascale Cedar PRO,650 MHz,1,Yes,DX 11.0,1,No,128KB,AMD,19 Watts,512 MB,12.8GB/sec,64 Bit,800 MHz,GDDR3,Radeon HD 6350,No,4.3,250 Watt & 18 Amps,3 GPixel/s,None,40nm,4,07-Feb-2011,2560x1600,Yes,5,8,5 GTexel/s,0
G96,N/A,2,Yes,DX 10,0,No,0KB,Nvidia,40 Watts,512 MB,25.6GB/sec,128 Bit,800 MHz,GDDR3,Quadro FX 580,No,3,450 Watt,N/A,None,N/A,N/A,09-Apr-2009,2560x1600,No,4,N/A,N/A,1
Terascale 2 Turks PRO,650 MHz,1,Yes,DX 11.0,1,No,256KB,AMD,60 Watts,1024 MB,64GB/sec,128 Bit,1000 MHz,GDDR5,Radeon HD 6570,No,4.3,400 Watt & 27 Amps,5 GPixel/s,None,40nm,8,19-Apr-2011,2560x1600,Yes,5,24,16 GTexel/s,1
G80GL,N/A,2,Yes,DX 10,0,No,0KB,Nvidia,171 Watts,1536 MB,76.8GB/sec,384 Bit,800 MHz,GDDR3,Quadro FX 5600,No,3.3,750 Watt,N/A,None,90nm,N/A,03-May-2007,2560x1600,No,4,N/A,N/A,1
Terascale 2 Caicos PRO,625 MHz,1,Yes,DX 11.0,1,No,128KB,AMD,18 Watts,1024 MB,10.7GB/sec,64 Bit,667 MHz,GDDR3,Radeon HD 6450 v3 MSI Low Profile 1GB Edition,No,4.3,400 Watt & 29 Amps,3 GPixel/s,None,40nm,4,19-Apr-2011,2560x1600,No,5,8,5 GTexel/s,1
Terascale Cedar LE,650 MHz,1,Yes,DX 11.0,1,No,128KB,AMD,19 Watts,1024 MB,12.8GB/sec,64 Bit,800 MHz,GDDR3,Radeon HD 6290,No,4.3,250 Watt & 18 Amps,3 GPixel/s,None,40nm,4,04-Dec-2011,2560x1600,No,5,8,5 GTexel/s,0
G71GL,N/A,2,Yes,DX 9.0c,1,No,0KB,Nvidia,96 Watts,1024 MB,36.8GB/sec,256 Bit,575 MHz,GDDR3,Quadro FX 5500,No,2.1,350 Watt,N/A,None,N/A,N/A,20-Apr-2006,2560x1600,No,3,N/A,N/A,N/A
G70GL,N/A,2,Yes,DX 9.0c,1,No,0KB,Nvidia,109 Watts,512 MB,36.8GB/sec,256 Bit,575 MHz,GDDR3,Quadro FX 4500,No,2.1,450 Watt,N/A,None,N/A,N/A,28-Jul-2005,2560x1600,No,3,N/A,N/A,N/A
GT218GL,N/A,1,Yes,DX 10.1,0,No,0KB,Nvidia,28 Watts,512 MB,12.8GB/sec,64 Bit,800 MHz,DDR3,Quadro FX 380 LP,No,3.2,350 Watt,N/A,None,40nm,N/A,30-Dec-2009,2560x1600,No,4.1,N/A,N/A,1
G200GL,N/A,1,Yes,DX 10,1,No,0KB,Nvidia,108 Watts,1024 MB,51.2GB/sec,256 Bit,800 MHz,GDDR3,Quadro FX 3800,No,3.1,550 Watt,N/A,None,N/A,N/A,30-Mar-2009,2560x1600,Yes,4,N/A,N/A,1
G96,N/A,2,Yes,DX 10,0,No,0KB,Nvidia,34 Watts,256 MB,22.4GB/sec,128 Bit,700 MHz,GDDR3,Quadro FX 380,No,3,450 Watt,N/A,None,N/A,N/A,31-Mar-2009,2560x1600,No,4,N/A,N/A,2
G92,N/A,2,Yes,DX 10,1,No,0KB,Nvidia,78 Watts,512 MB,51.2GB/sec,256 Bit,800 MHz,GDDR3,Quadro FX 3700,No,3.3,450 Watt,N/A,None,65nm,N/A,08-Jan-2008,2560x1600,No,4,N/A,N/A,N/A
G73 GL,N/A,2,Yes,DX 9.0c,0,No,0KB,Nvidia,30 Watts,128 MB,19.2GB/sec,128 Bit,600 MHz,GDDR3,Quadro FX 560,No,2.1,N/A,N/A,None,N/A,N/A,20-Apr-2006,N/A,No,3,N/A,N/A,0
G71GL,N/A,1,Yes,DX 9.0c,1,No,0KB,Nvidia,80 Watts,256 MB,42.2GB/sec,256 Bit,660 MHz,GDDR3,Quadro FX 3500,No,2,450 Watt,N/A,None,N/A,N/A,20-Apr-2006,2560x1600,Yes,3,N/A,N/A,N/A
G80GL,N/A,2,Yes,DX 10,0,No,0KB,Nvidia,134 Watts,768 MB,67.2GB/sec,384 Bit,700 MHz,GDDR3,Quadro FX 4600,No,3.3,750 Watt,N/A,None,90nm,N/A,05-Mar-2007,2560x1600,No,4,N/A,N/A,1
NV45GL,N/A,2,Yes,DX 9.0c,1,No,0KB,Nvidia,101 Watts,256 MB,28.8GB/sec,256 Bit,450 MHz,GDDR3,Quadro FX 3400,No,2,350 Watt,N/A,None,N/A,N/A,28-Jun-2004,2560x1600,No,3,N/A,N/A,N/A
NV41 GL,N/A,2,Yes,DX 9.0c,0,No,0KB,Nvidia,83 Watts,256 MB,64GB/sec,256 Bit,1000 MHz,GDDR3,Quadro FX 3450,No,2.1,N/A,N/A,None,N/A,N/A,01-Jul-2005,N/A,No,3,N/A,N/A,0
G84GL,N/A,2,Yes,DX 10,1,No,0KB,Nvidia,42 Watts,512 MB,12.8GB/sec,128 Bit,400 MHz,DDR2,Quadro FX 1700,No,2.1,450 Watt,N/A,None,80nm,N/A,12-Sep-2007,2560x1600,No,4,N/A,N/A,N/A
G84 GL,N/A,2,Yes,DX 10,0,No,0KB,Nvidia,38 Watts,256 MB,12.8GB/sec,128 Bit,400 MHz,DDR2,Quadro FX 570,No,3.3,N/A,N/A,None,80nm,N/A,12-Jan-2007,2560x1600,No,4,N/A,N/A,0
NV41GL,N/A,2,Yes,DX 9.0c,1,No,0KB,Nvidia,70 Watts,128 MB,9.6GB/sec,256 Bit,300 MHz,DDR,Quadro FX 1400,No,2,300 Watt,N/A,None,N/A,N/A,09-Aug-2004,2560x1600,Yes,3,N/A,N/A,N/A
G94,N/A,1,Yes,DX 10,1,No,0KB,Nvidia,59 Watts,768 MB,38.4GB/sec,192 Bit,800 MHz,GDDR3,Quadro FX 1800,No,3,450 Watt,N/A,None,N/A,N/A,19-Nov-2011,2560x1600,No,4,N/A,N/A,1
Terascale 2 Caicos PRO,625 MHz,1,Yes,DX 11.0,1,No,128KB,AMD,18 Watts,1024 MB,10.7GB/sec,64 Bit,667 MHz,GDDR3,Radeon HD 6450 v3 Sapphire 1GB Edition,No,4.3,400 Watt & 29 Amps,3 GPixel/s,None,40nm,4,19-Apr-2011,2560x1600,No,5,8,5 GTexel/s,1
NV35GL,N/A,1,Yes,DX 9.0b,1,No,0KB,Nvidia,150 Watts,256 MB,13.6GB/sec,256 Bit,425 MHz,DDR,Quadro FX 3000,No,2,350 Watt,N/A,None,N/A,N/A,22-Jul-2003,2560x1600,No,3,N/A,N/A,N/A
NV38GL,N/A,2,Yes,DX 9.0b,1,No,0KB,Nvidia,55 Watts,128 MB,8.8GB/sec,256 Bit,275 MHz,DDR,Quadro FX 1300,No,2,350 Watt,N/A,None,N/A,N/A,28-Jun-2004,2560x1600,No,3,N/A,N/A,N/A
NV30GL,N/A,1,Yes,DX 9.0b,1,No,0KB,Nvidia,150 Watts,128 MB,9.6GB/sec,128 Bit,300 MHz,DDR2,Quadro FX 1000,No,2,300 Watt,N/A,None,N/A,N/A,21-Jan-2003,2560x1600,No,3,N/A,N/A,N/A
NV30GL,N/A,1,Yes,DX 9.0b,1,No,0KB,Nvidia,150 Watts,128 MB,5.2GB/sec,128 Bit,325 MHz,DDR,Quadro FX 1100,No,2,350 Watt,N/A,None,N/A,N/A,03-Dec-2003,2560x1600,No,3,N/A,N/A,N/A
Hemlock XT,N/A,2,Yes,DX 11,1,No,0KB(x2),AMD,294 Watts,4096 MB,256GB/sec,256 Bit,1000 MHz,GDDR5,Radeon HD 5970 Eyefinity,No,3.2,650 Watt & 50 Amps,46 GPixel/s,None,40nm,32 (x2),18-Nov-2009,2560x1600,Yes,5,80,116 GTexel/s,0
Terascale 2 Cypress XT,900 MHz,2,Yes,DX 11.0,1,No,512KB,AMD,188 Watts,1024 MB,153.6GB/sec,256 Bit,1200 MHz,GDDR5,Radeon HD 5870 MSI Lightning Edition,No,4.3,500 Watt & 40 Amps,29 GPixel/s,2x 6-pin,40nm,32,23-Feb-2010,2560x1600,Yes,5,80,72 GTexel/s,0
Hemlock XT,N/A,2,Yes,DX 11,1,No,0KB,AMD,294 Watts,2048 MB,256GB/sec,512 Bit,1000 MHz,GDDR5,Radeon HD 5970,No,3.2,650 Watt & 50 Amps,46 GPixel/s,None,40nm,64,18-Nov-2009,2560x1600,Yes,5,160,116 GTexel/s,0
NV30GL,N/A,2,Yes,DX 9.0a,0,No,0KB,Nvidia,150 Watts,128 MB,12.8GB/sec,128 Bit,400 MHz,DDR2,Quadro FX 2000,No,1.5,N/A,N/A,None,N/A,N/A,01-Jan-2003,N/A,No,2,N/A,N/A,0
Hemlock XT,N/A,0,Yes,DX 11,0,No,0KB(x2),AMD,588 Watts,4096 MB,512GB/sec,512 Bit,1000 MHz,GDDR5,Radeon HD 5970 Crossfire,No,3.2,850 Watt & 71 Amps,93 GPixel/s,None,40nm,64 (x2),01-Nov-2009,2560x1600,Yes,5,160,232 GTexel/s,0
Evergreen Cypress XT,N/A,2,Yes,DX 11,1,No,0KB(x2),AMD,350 Watts,2048 MB,307.2GB/sec,256 Bit,1200 MHz,GDDR5,Radeon HD 5870 Crossfire,No,3.2,750 Watt & 50 Amps,54 GPixel/s,None,40nm,32 (x2),18-Sep-2009,2560x1600,Yes,5,80,136 GTexel/s,0
G71GL,N/A,2,Yes,DX 9.0c,1,No,0KB,Nvidia,65 Watts,256 MB,40GB/sec,256 Bit,625 MHz,GDDR3,Quadro FX 1500,No,2,350 Watt,N/A,None,N/A,N/A,20-Apr-2006,2560x1600,No,3,N/A,N/A,N/A
Terascale 2 Cypress XT,850 MHz,1,Yes,DX 11.0,1,No,512KB,AMD,300 Watts,1024 MB,153.6GB/sec,256 Bit,1200 MHz,GDDR5,Radeon HD 5870 Asus v2 1GB Edition,No,4.3,600 Watt & 42 Amps,27 GPixel/s,2x 8-pin,40nm,32,12-May-2010,2560x1600,Yes,5,80,68 GTexel/s,0
Terascale 2 Cypress XT,850 MHz,2,Yes,DX 11.0,1,No,512KB,AMD,195 Watts,2048 MB,153.6GB/sec,256 Bit,1200 MHz,GDDR5,Radeon HD 5870 2048MB,No,4.3,500 Watt & 40 Amps,27 GPixel/s,2x 6-pin,40nm,32,01-Sep-2009,2560x1600,Yes,5,80,68 GTexel/s,0
Terascale 2 Cypress PRO,765 MHz,2,Yes,DX 11.0,1,No,512KB,AMD,151 Watts,1024 MB,144GB/sec,256 Bit,1125 MHz,GDDR5,Radeon HD 5850 XFX Black 1GB Edition,No,4.3,500 Watt & 40 Amps,24 GPixel/s,2x 6-pin,40nm,32,13-Apr-2010,2560x1600,Yes,5,72,55 GTexel/s,0
Terascale 2 Cypress PRO,760 MHz,2,Yes,DX 11.0,1,No,512KB,AMD,151 Watts,1024 MB,134.4GB/sec,256 Bit,1050 MHz,GDDR5,Radeon HD 5850 PowerColor PCS+ 1GB Edition,No,4.3,500 Watt & 40 Amps,24 GPixel/s,2x 6-pin,40nm,32,01-Jan-2010,2560x1600,Yes,5,72,55 GTexel/s,0
Terascale 2 Cypress PRO,735 MHz,2,Yes,DX 11.0,1,No,512KB,AMD,150 Watts,1024 MB,134.4GB/sec,256 Bit,1050 MHz,GDDR5,Radeon HD 5850 Sapphire Vapor-X 1GB Edition,No,4.3,600 Watt,24 GPixel/s,None,40nm,32,30-Sep-2009,2560x1600,Yes,5,72,53 GTexel/s,0
GT200b GL,N/A,1,Yes,DX 10,1,No,0KB,Nvidia,150 Watts,1536 MB,76.8GB/sec,384 Bit,800 MHz,GDDR3,Quadro FX 4800,No,3.1,750 Watt,N/A,None,65nm,N/A,08-Nov-2011,2560x1600,No,4,N/A,N/A,N/A
Terascale 2 Cypress PRO,725 MHz,2,Yes,DX 11.0,1,No,512KB,AMD,151 Watts,1024 MB,128GB/sec,256 Bit,1000 MHz,GDDR5,Radeon HD 5850 MSI Twin Frozr II 1GB Edition,No,4.3,500 Watt & 37 Amps,23 GPixel/s,2x 6-pin,40nm,32,30-Sep-2009,2560x1600,Yes,5,72,52 GTexel/s,0
Terascale 2 Cypress XT,850 MHz,2,Yes,DX 11.0,1,No,512KB,AMD,188 Watts,1024 MB,153.6GB/sec,256 Bit,1200 MHz,GDDR5,Radeon HD 5870 1024MB,No,4.3,500 Watt & 40 Amps,27 GPixel/s,2x 6-pin,40nm,32,23-Sep-2009,2560x1600,Yes,5,80,68 GTexel/s,0
Evergreen Cypress LE,N/A,1,Yes,DX 11,1,No,0KB,AMD,175 Watts,1024 MB,128GB/sec,256 Bit,1000 MHz,GDDR5,Radeon HD 5830,No,3.2,500 Watt & 40 Amps,13 GPixel/s,None,40nm,16,01-Feb-2010,2560x1600,Yes,5,56,45 GTexel/s,0
Terascale 2 Juniper XT,860 MHz,2,Yes,DX 11.0,1,No,256KB,AMD,108 Watts,1024 MB,76.8GB/sec,128 Bit,1200 MHz,GDDR5,Radeon HD 5770 Sapphire Vapor-X Edition,No,4.3,500 Watt,14 GPixel/s,None,40nm,16,13-Oct-2009,2560x1600,Yes,5,40,34 GTexel/s,0
Evergreen Cypress PRO,N/A,2,Yes,DX 11,1,No,0KB(x2),AMD,300 Watts,2048 MB,256GB/sec,256 Bit,1000 MHz,GDDR5,Radeon HD 5850 Crossfire,No,3.2,600 Watt & 50 Amps,54 GPixel/s,None,40nm,32 (x2),18-Sep-2009,2560x1600,Yes,5,72,122 GTexel/s,0
Terascale 2 Cypress PRO,765 MHz,2,Yes,DX 11.0,0,No,512KB,AMD,151 Watts,1024 MB,128GB/sec,256 Bit,1000 MHz,GDDR5,Radeon HD 5850 Gigabyte OC 1GB Edition,No,4.3,500 Watt & 40 Amps,24 GPixel/s,2x 6-pin,40nm,32,01-Apr-2010,2560x1600,Yes,5,72,55 GTexel/s,0
Juniper XT,N/A,4,Yes,DX 11,2,No,0KB(x2),AMD,206 Watts,2048 MB,153.6GB/sec,128 Bit,1200 MHz,GDDR5,Radeon HD 5770 Crossfire,No,4.2,600 Watt,27 GPixel/s,None,28nm,16 (x2),01-Oct-2009,2560x1600,Yes,5,40,68 GTexel/s,0
Terascale 2 Cypress PRO,725 MHz,2,Yes,DX 11.0,1,No,512KB,AMD,185 Watts,2048 MB,128GB/sec,256 Bit,1000 MHz,GDDR5,Radeon HD 5850 2048MB,No,4.3,500 Watt & 40 Amps,23 GPixel/s,2x 6-pin,40nm,32,30-Sep-2009,2560x1600,Yes,5,72,52 GTexel/s,0
Terascale 2 Juniper XT,850 MHz,2,Yes,DX 11.0,1,No,256KB,AMD,108 Watts,1024 MB,76.8GB/sec,128 Bit,1200 MHz,GDDR5,Radeon HD 5770 Sapphire 1GB Edition,No,4.3,450 Watt & 33 Amps,14 GPixel/s,1x 6-pin,40nm,16,13-Oct-2009,2560x1600,Yes,5,40,34 GTexel/s,0
Terascale 2 Cypress PRO,765 MHz,2,Yes,DX 11.0,1,No,512KB,AMD,151 Watts,1024 MB,144GB/sec,256 Bit,1125 MHz,GDDR5,Radeon HD 5850 HIS iCooler V Turbo 1GB Edition,No,4.3,500 Watt & 33 Amps,24 GPixel/s,2x 6-pin,40nm,32,30-Sep-2009,2560x1600,Yes,5,72,55 GTexel/s,0
Terascale 2 Cypress PRO,725 MHz,1,Yes,DX 11.0,1,No,512KB,AMD,151 Watts,1024 MB,128GB/sec,256 Bit,1000 MHz,GDDR5,Radeon HD 5850 1024MB,No,4.3,500 Watt & 40 Amps,23 GPixel/s,2x 6-pin,40nm,32,30-Sep-2009,2560x1600,Yes,5,72,52 GTexel/s,0
Terascale 2 Juniper XT,850 MHz,1,Yes,DX 11.0,1,No,256KB,AMD,150 Watts,1024 MB,76.8GB/sec,128 Bit,1200 MHz,GDDR5,Radeon HD 5770 Club 3D Edition,No,4.3,450 Watt,14 GPixel/s,None,40nm,16,01-Nov-2009,2560x1600,Yes,5,40,34 GTexel/s,0
Terascale 2 Juniper XT,850 MHz,2,Yes,DX 11.0,1,No,256KB,AMD,150 Watts,1024 MB,76.8GB/sec,128 Bit,1200 MHz,GDDR5,Radeon HD 5770 Asus v2 Edition,No,4.3,450 Watt & 30 Amps,14 GPixel/s,1x 6-pin,40nm,16,01-Nov-2009,2560x1600,Yes,5,40,34 GTexel/s,0
Terascale 2 Juniper XT,875 MHz,1,Yes,DX 11.0,1,No,256KB,AMD,150 Watts,1024 MB,76.8GB/sec,128 Bit,1200 MHz,GDDR5,Radeon HD 5770 MSI Hawk Edition,No,4.3,N/A,14 GPixel/s,None,40nm,16,16-Dec-2009,2560x1600,Yes,5,40,35 GTexel/s,0
Terascale 2 Juniper XT,850 MHz,2,Yes,DX 11.0,1,No,256KB,AMD,108 Watts,512 MB,76.8GB/sec,128 Bit,1200 MHz,GDDR5,Radeon HD 5770 512MB,No,4.3,450 Watt & 34 Amps,14 GPixel/s,None,40nm,16,01-Oct-2009,2560x1600,Yes,5,40,34 GTexel/s,0
Terascale 2 Cypress PRO,725 MHz,2,Yes,DX 11.0,1,No,512KB,AMD,150 Watts,1024 MB,128GB/sec,256 Bit,1000 MHz,GDDR5,Radeon HD 5850 PowerColor 1GB Edition,No,4.3,500 Watt,23 GPixel/s,None,40nm,32,01-Sep-2010,2560x1600,Yes,5,72,52 GTexel/s,0
Evergreen Juniper XT,N/A,1,Yes,DX 11,1,No,0KB(x2),AMD,150 Watts,1024 MB,153.6GB/sec,128 Bit,1200 MHz,GDDR5,Radeon HD 5770 Club 3D Edition CrossFire,No,3.2,450 Watt,27 GPixel/s,None,40nm,16 (x2),01-Nov-2009,2560x1600,Yes,5,40,68 GTexel/s,0
Terascale 2 Redwood XT,775 MHz,1,Yes,DX 11.0,1,No,256KB,AMD,150 Watts,1024 MB,64GB/sec,128 Bit,1000 MHz,GDDR5,Radeon HD 5670 Sapphire 1GB GDDR5,No,4.3,400 Watt,6 GPixel/s,None,40nm,8,01-Dec-2009,2560x1600,Yes,5,20,16 GTexel/s,0
Evergreen Juniper PRO,N/A,2,Yes,DX 11,1,No,0KB,AMD,86 Watts,512 MB,73.6GB/sec,128 Bit,1150 MHz,GDDR5,Radeon HD 5750 512MB,No,3.2,450 Watt & 30 Amps,11 GPixel/s,None,40nm,16,01-Oct-2009,2560x1600,Yes,5,36,25 GTexel/s,0
Terascale 2 Redwood XT,800 MHz,1,Yes,DX 11.0,1,No,256KB,AMD,150 Watts,1024 MB,60.8GB/sec,128 Bit,950 MHz,GDDR5,Radeon HD 5670 MSI 1GB OC Edition,No,4.3,400 Watt,6 GPixel/s,None,40nm,8,01-Jan-2010,2560x1600,Yes,5,20,16 GTexel/s,0
Evergreen Juniper PRO,N/A,2,Yes,DX 11,1,No,0KB,AMD,86 Watts,1024 MB,73.6GB/sec,128 Bit,1150 MHz,GDDR5,Radeon HD 5750 1024MB,No,3.2,450 Watt & 30 Amps,11 GPixel/s,None,40nm,16,01-Oct-2009,2560x1600,Yes,5,36,25 GTexel/s,0
Terascale 2 Juniper XT,850 MHz,2,Yes,DX 11.0,1,No,256KB,AMD,108 Watts,1024 MB,76.8GB/sec,128 Bit,1200 MHz,GDDR5,Radeon HD 5770 1024MB,No,4.3,450 Watt & 34 Amps,14 GPixel/s,None,40nm,16,01-Oct-2009,2560x1600,Yes,5,40,34 GTexel/s,0
Terascale 2 Redwood XT,950 MHz,1,Yes,DX 11.0,1,No,256KB,AMD,150 Watts,1024 MB,64GB/sec,128 Bit,1000 MHz,GDDR5,Radeon HD 5670 Gigabyte 1GB OC Edition,No,4.3,N/A,8 GPixel/s,None,40nm,8,01-Jan-2010,2560x1600,Yes,5,20,19 GTexel/s,1
Evergreen Redwood XT,N/A,1,Yes,DX 11,1,No,0KB,AMD,64 Watts,1024 MB,25.6GB/sec,128 Bit,800 MHz,DDR3,Radeon HD 5670 1GB DDR3,No,3.2,400 Watt & 25 Amps,6 GPixel/s,None,40nm,8,01-Jan-2010,2560x1600,Yes,5,20,16 GTexel/s,1
Evergreen Redwood PRO,N/A,1,Yes,DX 11,1,No,0KB,AMD,150 Watts,1024 MB,25.6GB/sec,128 Bit,800 MHz,DDR3,Radeon HD 5570 XFX 1GB Edition,No,3.2,400 Watt,5 GPixel/s,None,40nm,8,01-Feb-2010,2560x1600,Yes,5,20,13 GTexel/s,0
Terascale 2 Redwood XT,775 MHz,1,Yes,DX 11.0,1,No,256KB,AMD,64 Watts,1024 MB,64GB/sec,128 Bit,1000 MHz,GDDR5,Radeon HD 5670 1024MB,No,4.3,400 Watt & 26 Amps,6 GPixel/s,None,40nm,8,14-Jan-2010,2560x1600,Yes,5,20,16 GTexel/s,1
Terascale 2 Redwood XT,775 MHz,1,Yes,DX 11.0,1,No,256KB,AMD,64 Watts,1024 MB,64GB/sec,128 Bit,1000 MHz,GDDR5,Radeon HD 5670 Asus 1GB Edition,No,4.3,400 Watt & 27 Amps,6 GPixel/s,None,40nm,8,14-Jan-2010,2560x1600,Yes,5,20,16 GTexel/s,1
Evergreen Redwood XT,N/A,1,Yes,DX 11,1,No,0KB,AMD,64 Watts,1024 MB,25.6GB/sec,128 Bit,800 MHz,DDR3,Radeon HD 5670 1GB DDR3 Sapphire Edition,No,3.2,400 Watt & 26 Amps,6 GPixel/s,None,40nm,8,14-Jan-2010,2560x1600,Yes,5,20,16 GTexel/s,1
Evergreen Redwood PRO,N/A,1,Yes,DX 11,1,No,0KB,AMD,39 Watts,512 MB,28.8GB/sec,128 Bit,900 MHz,DDR3,Radeon HD 5570 512MB,No,3.2,400 Watt & 24 Amps,5 GPixel/s,None,40nm,8,09-Feb-2010,2560x1600,Yes,5,20,13 GTexel/s,1
Evergreen Redwood PRO,N/A,1,Yes,DX 11,1,No,0KB,AMD,150 Watts,2048 MB,25.6GB/sec,128 Bit,800 MHz,DDR3,Radeon HD 5570 XFX Eyefinity X 2GB Edition,No,3.2,500 Watt,5 GPixel/s,None,40nm,8,01-Jul-2010,2560x1600,Yes,5,20,13 GTexel/s,1
Evergreen Redwood XT,N/A,1,Yes,DX 11,1,No,0KB,AMD,61 Watts,512 MB,64GB/sec,128 Bit,1000 MHz,GDDR5,Radeon HD 5670 512MB,No,3.2,400 Watt & 26 Amps,6 GPixel/s,None,40nm,8,14-Jan-2010,2560x1600,Yes,5,20,16 GTexel/s,1
Terascale 2 Redwood XT,775 MHz,1,Yes,DX 11.0,1,No,256KB,AMD,150 Watts,1024 MB,64GB/sec,128 Bit,1000 MHz,GDDR5,Radeon HD 5670 Diamond 1GB GDDR5,No,4.3,400 Watt,6 GPixel/s,None,40nm,8,01-Feb-2010,2560x1600,Yes,5,20,16 GTexel/s,1
Evergreen Redwood PRO,N/A,1,Yes,DX 11,1,No,0KB,AMD,42 Watts,1024 MB,28.8GB/sec,128 Bit,900 MHz,DDR3,Radeon HD 5570 1024MB,No,3.2,400 Watt & 24 Amps,5 GPixel/s,None,40nm,8,09-Feb-2010,2560x1600,Yes,5,20,13 GTexel/s,1
Terascale 2 Cedar PRO,N/A,1,Yes,DX 11,1,No,128KB,AMD,150 Watts,1024 MB,10.7GB/sec,64 Bit,667 MHz,DDR3,Radeon HD 5450 Sapphire 1GB DDR3 Edition,No,3.2,400 Watt,3 GPixel/s,None,40nm,4,01-Aug-2012,2560x1600,Yes,5,8,5 GTexel/s,0
Terascale 2 Cedar PRO,N/A,1,Yes,DX 11,1,No,128KB,AMD,150 Watts,1024 MB,7.2GB/sec,64 Bit,450 MHz,DDR3,Radeon HD 5450 Asus Silent 1GB Edition,No,3.2,N/A,3 GPixel/s,None,40nm,4,01-Mar-2010,2560x1600,Yes,5,8,5 GTexel/s,1
Terascale 2 Cedar PRO,N/A,1,Yes,DX 11,1,No,128KB,AMD,19 Watts,256 MB,6.4GB/sec,64 Bit,400 MHz,DDR3,Radeon HD 5450 256MB,No,3.2,400 Watt & 22 Amps,3 GPixel/s,None,40nm,4,04-Feb-2010,2560x1600,Yes,5,8,5 GTexel/s,1
Evergreen Redwood LE,N/A,1,Yes,DX 11,1,No,0KB,AMD,39 Watts,1024 MB,64GB/sec,128 Bit,1000 MHz,GDDR5,Radeon HD 5550 1024MB,No,3.2,400 Watt & 24 Amps,4 GPixel/s,None,40nm,8,09-Feb-2010,2560x1600,Yes,5,16,9 GTexel/s,1
Evergreen Redwood LE,N/A,1,Yes,DX 11,1,No,0KB,AMD,39 Watts,512 MB,64GB/sec,128 Bit,1000 MHz,GDDR5,Radeon HD 5550 512MB,No,3.2,400 Watt & 24 Amps,4 GPixel/s,None,40nm,8,09-Feb-2010,2560x1600,Yes,5,16,9 GTexel/s,1
GCN 1.0 Tahiti XT,925 MHz,3,Yes,DX 12.0,1,No,768KB,AMD,300 Watts,3072 MB,264GB/sec,384 Bit,1375 MHz,GDDR5,Radeon HD 7970 VTX3D 3GB Edition,No,4.4,500 Watt & 40 Amps,30 GPixel/s,2x 8-pin,28nm,32,01-Feb-2012,4096x2160,Yes,5,128,118 GTexel/s,0
Terascale 2 Cedar PRO,N/A,1,Yes,DX 11,1,No,128KB,AMD,150 Watts,512 MB,12.8GB/sec,64 Bit,800 MHz,DDR3,Radeon HD 5450 Gigabyte OC 512MB Edition,No,3.2,400 Watt,3 GPixel/s,1x 6-pin + 1x 8-pin,40nm,4,01-Aug-2012,2560x1600,Yes,5,8,6 GTexel/s,1
GCN 1.0 Tahiti XT,955 MHz,2,Yes,DX 12.0,1,No,768KB,AMD,150 Watts,3072 MB,264GB/sec,384 Bit,1375 MHz,GDDR5,Radeon HD 7970 PowerColor OC Edition,No,4.4,500 Watt,31 GPixel/s,None,28nm,32,01-Feb-2012,4096x2160,Yes,5,128,122 GTexel/s,0
